LNR,RESPONSE
1763,0.46342367228534154
1771,0.3339709316460365
1776,0.4218214572259508
1460,0.44937607904696203
1783,0.4525307040718927
1789,0.3656603640916877
1795,0.4248394154056644
1493,0.36366311388353845
1801,0.4824660655415226
1834,0.5058469251898378
1838,0.4824660655415226
2512,0.37150572052512837
2513,0.3891281209378273
2515,0.4197125898827467
2198,0.29786688791091914
2528,0.39866340960822866
2216,0.5058469251898378
2554,0.3751858416025926
2227,0.4824660655415226
2666,0.3766564516316147
2678,0.31764605642690574
11125,0.3718038174568256
11440,0.4403674977075616
11141,0.3893318932594354
11461,0.3621523523966231
10861,0.3822780916472408
10879,0.3214950124474114
11195,0.446013920811444
10891,0.40468551941233455
11214,0.4452231926186719
10928,0.4705740439133747
11251,0.38608771032401945
10955,0.3431004733890299
10956,0.47851997183947115
11268,0.40092380305762737
10960,0.4253286942862399
10971,0.46833717983011874
10976,0.4014045257071083
11287,0.3860039293579826
11295,0.4162657408300944
11299,0.46265703336228414
10981,0.3326779333676379
10986,0.46739143200633554
11940,0.3859657570034637
11941,0.40258705763110797
11942,0.3695670834015553
11954,0.47692685920419065
11654,0.45349045103132396
11976,0.48715902491210805
11977,0.43586518090857196
11667,0.33978618030387664
11993,0.36653206216211265
11692,0.4970426269993535
12001,0.292245353010376
12013,0.3518330490018055
11725,0.45376234229773244
11731,0.3361761834762874
12027,0.36848677102771726
11744,0.28486973127947324
11751,0.35437301532065346
11767,0.33430231985659026
12072,0.44510418666568635
12078,0.3527111466233015
11783,0.40163998159661624
12088,0.3830035863713946
11510,0.39371028857379486
11830,0.45751467640076704
11539,0.339795251251806
11847,0.3467329027470481
11851,0.48430507834643066
11852,0.38289980585385386
11855,0.2886174440116843
11858,0.38872307754488106
11554,0.3517870450531085
11866,0.28490968560175306
11566,0.37108471183037556
11568,0.4418418616201798
11886,0.40644300685465223
11594,0.43694161288382355
11606,0.4182698052690719
12585,0.3199311816571354
12612,0.45125645068346315
12623,0.42323136649237064
12634,0.31902410777426893
12636,0.39937916016547215
21578,0.48715902491210805
21481,0.3443756189755498
21491,0.4474357960163529
21178,0.49409282954424194
21186,0.392215945951852
21511,0.36154867744698166
21210,0.3352292114841079
21551,0.48633984484622694
21557,0.48715902491210805
21249,0.3340374262467965
20940,0.36264706063513
20957,0.48678075196871085
