LNR,RESPONSE
1754,0.05
1770,0.02
1465,0.0
1470,0.01
1478,0.02
1782,0.0
1485,0.01
1519,0.01
1835,0.05
1522,0.01
1539,0.0
1853,0.05
1856,0.0
2502,0.0
2182,0.01
2191,0.0
2522,0.0
2530,0.05
2215,0.0
2550,0.03
2570,0.02
2574,0.0
2579,0.05
2247,0.03
2674,0.0
11434,0.0
11122,0.04
11127,0.0
11443,0.02
11170,0.44642444453242036
11191,0.03
11198,0.02
10936,0.2554834871683291
11244,0.02
11247,0.0
11252,0.01
11259,0.406552097826891
10945,0.0
10951,0.0
11271,0.01
10963,0.06
11282,0.01
11291,0.01
10980,0.0
10994,0.0
10998,0.44642444453242036
11303,0.01
11630,0.0
11636,0.01
11949,0.0
11950,0.0
11956,0.02
11648,0.44642444453242036
11653,0.0
11967,0.0
11972,0.0
11975,0.0
12110,0.01
12113,0.01
11712,0.0
11716,0.18683307539223942
12000,0.0
11722,0.02
12023,0.44642444453242036
12046,0.0
11762,0.406552097826891
12071,0.01
12077,0.0
11785,0.03
11788,0.01
11790,0.01
11800,0.0
11806,0.01
11816,0.01
11505,0.0
11837,0.0
11531,0.01
11848,0.02
11854,0.04
11877,0.03
11563,0.0
11567,0.01
11894,0.01
11906,0.01
11917,0.44642444453242036
11610,0.44642444453242036
11923,0.01
12596,0.01
12603,0.0
12608,0.02
12633,0.0
12637,0.02
21484,0.406552097826891
21184,0.01
21247,0.0
20991,0.0
21018,0.02
21019,0.04
21047,0.02
21054,0.01
21374,0.0
21392,0.02
21713,0.02
22019,0.0
22025,0.02
21722,0.03
21728,0.01
22039,0.44642444453242036
22044,0.05
61900,0.0
62548,0.03
63176,0.0
64473,0.0
64779,0.04
64780,0.0
64784,0.01
65105,0.44642444453242036
65431,0.03
65433,0.04
66055,0.0
66071,0.44642444453242036
61280,0.0
61281,0.01
61284,0.0
61597,0.0
61606,0.01
62235,0.03
62240,0.01
62241,0.01
62555,0.05
62557,0.01
62565,0.0
62566,0.09
63515,0.01
63524,0.01
64797,0.0
65116,0.18683307539223942
75249,0.02
75253,0.06
75575,0.6288466376275085
76212,0.0
71422,0.0
72059,0.0
72060,0.02
72383,0.0
72386,0.02
72700,0.04
72715,0.02
73028,0.01
73346,0.0
73658,0.01
73662,0.03
73666,0.0
73668,0.0
73985,0.01
74299,0.02
74310,0.0
74312,0.02
74619,0.01
74620,0.0
74627,0.01
74938,0.02
74952,0.0
75911,0.0
75913,0.0
76221,0.0
76227,0.01
71448,0.01
15887,0.0
15498,0.0
15504,0.02
15507,0.02
15521,0.01
24403,0.02
24100,0.01
24436,0.01
24440,0.01
24442,0.2554834871683291
24148,0.0
24149,0.02
24155,0.03
24458,0.01
24169,0.02
24477,0.02
24479,0.0
24486,0.01
24190,0.03
24515,0.03
24214,0.0
25183,0.44642444453242036
25207,0.0
24889,0.0
24890,0.01
25226,0.0
25232,0.0
25244,0.0
25339,0.01
25355,0.0
24958,0.0
25277,0.0
25286,0.02
24988,0.44642444453242036
25298,0.0
25309,0.01
25315,0.0
25014,0.6288466376275085
25322,0.01
25333,0.02
25025,0.04
24726,0.02
24735,0.406552097826891
25055,0.01
25056,0.0
24746,0.01
25061,0.0
25067,0.0
25074,0.02
24773,0.02
25080,0.406552097826891
25086,0.0
25088,0.02
24777,0.01
24796,0.01
25104,0.0
24806,0.01
25118,0.0
24822,0.6288466376275085
82811,0.04
83449,0.02
83459,0.406552097826891
83770,0.44642444453242036
84091,0.0
84096,0.01
84737,0.01
85048,0.4883638847206468
85049,0.01
85051,0.01
85369,0.01
85374,0.01
85380,0.01
82190,0.01
82505,0.02
82515,0.01
82517,0.01
82821,0.01
83140,0.0
788,0.01
1102,0.01
1109,0.01
821,0.01
829,0.0
837,0.04
845,0.03
1163,0.01
861,0.406552097826891
899,0.0
1207,0.0
906,0.0
1221,0.01
1545,0.0
1546,0.04
1555,0.01
1556,0.05
1879,0.01
1885,0.02
1593,0.0
1902,0.03
1611,0.0
1921,0.02
1927,0.03
1651,0.02
1978,0.01
1718,0.01
1722,0.01
1734,0.03
41705,0.01
